sentence_id,label,sentence,departure,arrival,template_id
3932,VALID,Quel train prendre pour aller de Laval a Lannion ?,Laval,Lannion,84
1213,VALID,Je veux me rendre à Maubeuge depuis Pau par le train,Pau,Maubeuge,73
3894,VALID,je souhaite reserver un train de oyonnax vers belfort,Oyonnax,Belfort,58
1383,VALID,Je dois être à Antibes avant midi en partant de Clisson,Clisson,Antibes,88
1532,VALID,Je prends le train de Fontainebleau à Lunéville,Fontainebleau,Lunéville,61
908,VALID,Je veux artir en trrain de Évreux à  Douaii smedi,Évreux,Douai,126
1388,VALID,Y a-t-il un départ tôt demain de Calais vers Cherbourg ?,Calais,Cherbourg,125
2163,INVALID,Le maire de Poitiers,,,24
1276,VALID,Je dois aller à Langres en partant de Moulins en train,Moulins,Langres,128
1785,INVALID,carte touristique de saint-brieuc,,,164
1255,VALID,Train express de Oyonnax vers Cherbourg,Oyonnax,Cherbourg,139
995,VALID,Je souhaite partir en milieu de matinée de Mâcon vers Vitry-le-François,Mâcon,Vitry-le-François,92
914,VALID,Je dois me rendre de Douai à Melun,Douai,Melun,7
710,VALID,Je cherche à voyager de Évreux à Challans en TER,Évreux,Challans,148
2833,INVALID,Bonjour,,,21
857,VALID,Je dois aller à Versailles en partant de Vierzon en train,Vierzon,Versailles,128
870,VALID,Je dois aller à Nîmes en partant de Saint-Denis en train,Saint-Denis,Nîmes,128
3701,INVALID,carte administrative cambrai,,,218
1187,VALID,n billet d train pouraller de Meaux à Boolbec,Meaux,Bolbec,33
399,VALID,Train du matin Chinon Lens,Chinon,Lens,29
3293,INVALID,Journaux locaux Laval,,,192
2337,INVALID,Actualités à Bourgoin-Jallieu,,,178
543,VALID,Je cherche un train pour la semaine prochaine de Bordeaux à Lannion,Bordeaux,Lannion,106
1710,VALID,Je dois me déplacer de Châteaubriant à Granville en train,Châteaubriant,Granville,65
862,VALID,Premier train Cannes Évreux,Cannes,Évreux,41
4070,INVALID,Evenements culturels Meaux,,,268
2339,INVALID,Activités culturelles Cherbourg,,,247
2186,INVALID,Calendrier événements Argenteuil,,,248
2520,INVALID,Population urbaine Poitiers,,,266
2284,INVALID,Évnéements culturels Fougères,,,268
3044,INVALID,Journaux locaux Arras,,,192
671,VALID,Y a-t-il un TER Maubeuge Valenciennes ?,Maubeuge,Valenciennes,68
3211,INVALID,Quartiers modernes Béziers,,,244
544,VALID,Y a-t-il un TGV en fin d'après-midi Aix-en-Provence Lunéville ?,Aix-en-Provence,Lunéville,133
2978,INVALID,Informations générales Boulogne-Billancourt,,,275
1088,VALID,Train de nuit Chaumont Arles,Chaumont,Arles,36
