sentence_id,label,sentence,town1,town2,template_id
3460,INVALID,mon ami vit a pau et moi a angers,Pau,Angers,19
545,VALID,Je dois me rendre de Concarneau à Perpignan,Concarneau,Perpignan,7
328,VALID,Prochain train pour Troyes depuis Montauban,Montauban,Troyes,13
529,VALID,Je voudrais partir ed lAbi pour aller à Tourcoing,Albi,Tourcoing,9
1167,VALID,Prochain train pour Maubeuge depuis Lille,Lille,Maubeuge,13
366,VALID,Je cherche un train Montbéliard Albertville,Montbéliard,Albertville,14
290,VALID,Je souhaite voyager de Épinal vers Évreux,Épinal,Évreux,5
1858,VALID,Vierzon Loches pour demain,Vierzon,Loches,6
2255,INVALID,Quelle est la population de Gap ?,Gap,Yvetot,22
305,VALID,Je veux aller de Briançon à Colmar,Briançon,Colmar,1
3451,VALID,un billet dunkerque sens s'il vous plait,Dunkerque,Sens,2
598,VALID,Trajet de Créteil vers Chartres,Créteil,Chartres,11
3550,INVALID,j'habite a cherbourg,Cherbourg,Saint-Denis,17
1034,VALID,Je veux aller de Lens à Oyonnax,Lens,Oyonnax,1
309,VALID,Je dois me rendre de Pontivy à Vendôme,Pontivy,Vendôme,7
3809,INVALID,Bonjour,Rouen,Nantes,21
2130,INVALID,Port-Boulet ou Nancy pour les vacances ?,Port-Boulet,Nancy,23
2125,INVALID,Avignon est une belle ville,Avignon,Ancenis,18
334,VALID,Trajet de Aix-en-Provence vers Les Sables-d'Olonne,Aix-en-Provence,Les Sables-d'Olonne,11
3046,INVALID,La distance entre Dinan et Bourg-en-Bresse,Dinan,Bourg-en-Bresse,20
2140,INVALID,Le maire de Versailles,Versailles,Brest,24
2075,INVALID,quelle est la population de fécamp ?,Fécamp,Strasbourg,22
2810,INVALID,Quel temps fait-il à Reims ?,Reims,Épernay,16
330,VALID,Trajet de Abbeville vers Concarneau,Abbeville,Concarneau,11
3428,VALID,comment me rendre a laval depuis angers ?,Angers,Laval,3
1760,VALID,Je pars de Étampes direction Nanterre,Étampes,Nanterre,12
525,VALID,Je souhaite voyager de Tarbes vers Dieppe,Tarbes,Dieppe,5
1857,VALID,Je pars de Perpignan direction Béthune,Perpignan,Béthune,12
2769,INVALID,Clermont-Ferrand ou Douai pour les vacances ?,Clermont-Ferrand,Douai,23
1672,VALID,Quels sont les horaires de train ours Thono-nles-Bains ?,Tours,Thonon-les-Bains,8
264,VALID,comment me rendre à briançon depuis segré ?,Segré,Briançon,3
210,VALID,je souhaite voyager de bourges vers montpellier,Bourges,Montpellier,5
3420,VALID,un billet arras orange s'il vous plait,Arras,Orange,2
3384,INVALID,Mon ami vit à Chambéry et moi à Cergy,Chambéry,Cergy,19
1313,VALID,Trajet de Lille vers Montbéliard,Lille,Montbéliard,11
392,VALID,Je souhaite voyager de Versailles vers Chambéry,Versailles,Chambéry,5
3296,INVALID,Quel temps fait-il à Briançon ?,Briançon,Abbeville,16
1979,INVALID,mon ami vit à florence et moi à saint-étienne,Florence,Saint-Étienne,19
160,VALID,y a-t-il des trains vers châlons-en-champagne au départ de aurillac ?,Aurillac,Châlons-en-Champagne,4
459,VALID,Prochain train pour Saumur depuis Metz,Metz,Saumur,13
2290,INVALID,Bourges ou La Rochelle pour les vacances ?,Bourges,La Rochelle,23
2037,INVALID,quel temps fait-il à thonon-les-bains ?,Thonon-les-Bains,Paris,16
3006,INVALID,Quelle est la population de Laval ?,Laval,Aubenas,22
3632,VALID,saint-omer marseille pour demain,Saint-Omer,Marseille,6
1790,VALID,Un billet Florence Caen s'il vous plaît,Florence,Caen,2
440,VALID,Je dois me rendre de Aix-en-Provence à Cherbourg,Aix-en-Provence,Cherbourg,7
895,VALID,Départ Nanterre arrivée Yvetot,Nanterre,Yvetot,15
142,VALID,je veux aller de mâcon à tourcoing,Mâcon,Tourcoing,1
1754,VALID,Prochain train pour Les Sables-d'Olonne depuis Montbéliard,Montbéliard,Les Sables-d'Olonne,13
211,VALID,départ cherbourg arrivée vannes,Cherbourg,Vannes,15
2297,INVALID,Mon ami vit à Hazebrouck et moi à Créteil,Hazebrouck,Créteil,19
1069,VALID,Comment me rendre à Granville depusi Nioort ?,Niort,Granville,3
1057,VALID,Je voudrais partir de Ajaccio pour aller à Aubenas,Ajaccio,Aubenas,9
