sentence_id,label,sentence,departure,arrival,template_id
4042,INVALID,Yvetot ou Bourges pour les vacances ?,,,157
1375,VALID,Je veux aller de Bayonne à Metz,Bayonne,Metz,1
1477,VALID,Billet de train Fontenay-le-Comte Béziers pour aujourd'hui,Fontenay-le-Comte,Béziers,40
2832,INVALID,Transports locaux Bayonne,,,273
2198,INVALID,Informations pratiques Privas,,,256
2284,INVALID,Évnéements culturels Fougères,,,268
3819,VALID,je veux partir de poitiers et descendre a aix-les-bains,Poitiers,Aix-les-Bains,108
2876,INVALID,Marché local Marseille,,,202
3033,INVALID,Carte de Laval,,,169
2271,INVALID,Activités sportives Épernay,,,264
3485,INVALID,Parc célèbre à Roubaix,,,203
878,VALID,Départ Perpignan arrivée Aubenas,Perpignan,Aubenas,15
3415,INVALID,Concert prévu à Vitry-le-François,,,174
4067,VALID,Je veux voyager en train de Montreuil a Tours,Montreuil,Tours,43
1539,VALID,Je dois me rndre à Poitiers depuuis Saint-Nazaire en TGV,Saint-Nazaire,Poitiers,144
538,VALID,Je pars en train de Chambéry vers Clisson,Chambéry,Clisson,71
1434,VALID,Y a-t-il un train vers midi de Compiègne à Verdun ?,Compiègne,Verdun,137
312,VALID,Je veux un train rapide de Granville à Auch,Granville,Auch,35
1030,VALID,Je veux un train confortable de Modane à Laon,Modane,Laon,69
3379,INVALID,Mon ami vit à Granville et moi à Bourg-en-Bresse,,,154
1388,VALID,Y a-t-il un départ tôt demain de Calais vers Cherbourg ?,Calais,Cherbourg,125
3781,VALID,quelle est la duree du trajet en train de saumur a abbeville ?,Saumur,Abbeville,31
758,VALID,Y a-t-il des trains vers Quimper au départ de Rennes ?,Rennes,Quimper,4
3449,INVALID,Population active Clisson,,,220
2829,INVALID,Zones résidentielles Paris,,,274
3545,INVALID,Carte météo Albert,,,251
2436,INVALID,Je suis né à Belfort,,,185
2454,INVALID,Zones vertes Avignon,,,224
2851,INVALID,aL distance entre Perpignan et Boourg-en-Bressse,,,276
1323,VALID,Je cherche un train après 18h de Privas vers Metz,Privas,Metz,98
3110,INVALID,Office du tourisme Bolbec,,,205
4008,INVALID,Parc celebre a Maubeuge,,,203
3019,INVALID,Ajaccio ou Hazebrouck pour les vacances ?,,,23
605,VALID,Je veux prendre le train de Arles à Chinon,Arles,Chinon,28
554,VALID,Je souhaite prendre un train en début d'après-midi de Vienne à Aurillac,Vienne,Aurillac,110
2111,INVALID,Spécialités culinaires Hazebrouck,,,187
3576,INVALID,Population urbaine Saint-Dizier,,,266
494,VALID,Dernier train de Oyonnax vers Albertville,Oyonnax,Albertville,42
1113,VALID,Billet de train aller-retour Cambrai Angers,Cambrai,Angers,78
46,VALID,y a-t-il un train vers 10h de port-boulet à fontenay-le-comte ?,Port-Boulet,Fontenay-le-Comte,129
1583,VALID,Je cherche le train le moins cher de Yvetot à Mende,Yvetot,Mende,54
2427,INVALID,Services publics Nevers,,,234
1827,INVALID,machés hebdomadaires bourges,,,238
324,VALID,Je veux aller de Colmar à Dole,Colmar,Dole,1
1745,VALID,Je dois être à Besançon avant midi en partant de Montélimar,Montélimar,Besançon,88
3941,VALID,Je veuxx arriver a ernon depuis Abletrvile,Albertville,Vernon,63
816,VALID,Je dois me rendre de Besançon à Fougères,Besançon,Fougères,7
948,VALID,Y a-t-il un train toutes les deux heures de Châteauroux à Perpignan ?,Châteauroux,Perpignan,145
3663,INVALID,Calendrier événements Arles,,,248
3247,INVALID,Hôtel disponible à Saint-Omer,,,163
2,VALID,je souhaite prendre un train en début d'après-midi de hazebrouck à valenciennes,Hazebrouck,Valenciennes,110
3297,INVALID,Météo actuelle à Châteauroux,,,167
3037,INVALID,Journaux locaux Saint-Étienne,,,192
3401,INVALID,Architecture de Thonon-les-Bains,,,198
2763,INVALID,Zones touristiques Douai,,,219
1911,INVALID,cartographie dijon,,,237
975,VALID,Y a-t-il un TER Mâcon Pontivy ?,Mâcon,Pontivy,68
2201,INVALID,Architecture de Lille,,,198
2150,INVALID,Parc célèbre à Thonon-les-Bains,,,203
4088,INVALID,Vienne est une belle ville,,,153
2551,INVALID,Office du tourisme Vienne,,,205
2126,INVALID,Informations locales Montivilliers,,,241
3714,INVALID,services municipaux troyes,,,259
775,VALID,Je veux voyager confortablementt de Saint-Denis vers Albert,Saint-Denis,Albert,104
198,VALID,train du soir saint-étienne nancy,Saint-Étienne,Nancy,66
3091,INVALID,Restaurant à Colmar,,,25
3457,INVALID,Université à Manosque,,,179
243,VALID,un aller simple perpignan fontainebleau,Perpignan,Fontainebleau,10
78,VALID,dernier train de maubeuge vers montargis,Maubeuge,Montargis,42
1589,VALID,Y a-t-il un train de nuit entre Amboise et Vernon ?,Amboise,Vernon,149
355,VALID,Morlaix Chinon pour demain,Morlaix,Chinon,6
84,VALID,quels sont les horaires de train bar-le-duc douai ?,Bar-le-Duc,Douai,8
3611,INVALID,Soipng àB olbec,,,182
739,VALID,Train avec restauration de Montivilliers à Elbeuf,Montivilliers,Elbeuf,135
994,VALID,Comment me rendre à Chambéry depuis Saint-Brieuc ?,Saint-Brieuc,Chambéry,3
1623,VALID,Je veux aller de Limoges à Mâcon,Limoges,Mâcon,1
694,VALID,Trajet de Angoulême vers Mâcon,Angoulême,Mâcon,11
61,VALID,train avec wifi de vichy à privas,Vichy,Privas,111
1734,VALID,Je voudrais aller de Chartres à Les Sables-d'Olonne en TGV,Chartres,Les Sables-d'Olonne,47
1700,VALID,Je vais de Montreuil à Périgueux en train,Montreuil,Périgueux,52
2933,INVALID,Activités culturelles Privas,,,247
1712,VALID,Train avec wifi de Lens à Bourgoin-Jallieu,Lens,Bourgoin-Jallieu,111
1916,INVALID,informations pratiques saumur,,,256
542,VALID,Je pars demain de Hazebrouck vers Sens,Hazebrouck,Sens,37
1094,VALID,Je planifie un voyage en train de Moulins vers Florence,Moulins,Florence,49
964,VALID,Je veux prendre le train de Biarritz à Segré,Biarritz,Segré,28
304,VALID,Je dois faire Nantes Roubaix en train,Nantes,Roubaix,102
2179,INVALID,Heure locale à Les Sables-d'Olonne,,,194
3981,INVALID,Espaces verts Saumur,,,239
1533,VALID,Combien de temps dure le trajet en train de Brest à Vannes ?,Brest,Vannes,60
572,VALID,Dernier train de Montivilliers vers Bolbec,Montivilliers,Bolbec,42
2495,INVALID,Centres de loisirs Abbeville,,,262
771,VALID,Un aller simple Montpellier Verdun,Montpellier,Verdun,10
209,VALID,je cherche à aller de digne-les-bains à provins par le train,Digne-les-Bains,Provins,116
1076,VALID,Je veux arriver à Dunkerquedepuis ennes,Rennes,Dunkerque,63
1741,VALID,Y a-t-il un départ en soirée de Nîmes pour Vesoul ?,Nîmes,Vesoul,141
968,VALID,Quelle est la fréquence des trains Bastia Nantes ?,Bastia,Nantes,72
2304,INVALID,Évry ou Concarneau pour les vacances ?,,,157
1723,VALID,Je veux voyager en train de Besançon à Pau,Besançon,Pau,43
1355,VALID,Train avec restauration de Annemasse à Quimper,Annemasse,Quimper,135
2729,INVALID,Carte postale Fontainebleau,,,196
227,VALID, e veux réserverr por le train de bourg-en-bresse vers aurillac,Bourg-en-Bresse,Aurillac,130
991,VALID,Y a-t-il un départ tôt demain de Digne-les-Bains vers Louviers ?,Digne-les-Bains,Louviers,125
882,VALID,Quel train prendre pour aller de Fontenay-le-Comte à Tourcoing ?,Fontenay-le-Comte,Tourcoing,84
1985,INVALID,histoire de compiègne,,,171
1895,INVALID,quartiers de vesoul,,,173
4038,VALID,Train avec wifi de Segre a Soissons,Segré,Soissons,111
3278,INVALID,Journaux locaux Châteaubriant,,,192
1096,VALID,Je cherche un train Le Havre Louviers,Le Havre,Louviers,14
2700,INVALID,Histoire de Aix-les-Bains,,,171
1234,VALID,Je dois me rendre de Granville à Châlons-en-Champagne,Granville,Châlons-en-Champagne,7
3030,INVALID,Zones touristiques Limoges,,,219
789,VALID,Prrochian déparrt de Soissons pour Auch,Soissons,Auch,27
1584,VALID,Je voudrais connaître les horaires de train de Moulins à Reims,Moulins,Reims,67
912,VALID,Train direct sans correspondance Quimper Rodez,Quimper,Rodez,82
2047,INVALID,guide pratique louviers,,,229
1354,VALID,Je cherche un train dimanche de Fontenay-le-Comte à Nancy,Fontenay-le-Comte,Nancy,132
3868,INVALID,informations locales montargis,,,241
3269,INVALID,Musée à visiter à Arles,,,172
2708,INVALID,Quelle heure est-il à Melun ?,,,160
3411,INVALID,Bonjour,,,21
3870,INVALID,associations locales les sables-d'olonne,,,236
3455,INVALID,Associations à Villeurbanne,,,207
1811,INVALID,théâtre à pontoise,,,217
891,VALID,Y a-t-il un TGV direct Dijon Dieppe ?,Dijon,Dieppe,93
