ville_id,nom_ville,type,region,notes
1,Paris,grande,Île-de-France,Capitale
2,Lyon,grande,Auvergne-Rhône-Alpes,
3,Marseille,grande,Provence-Alpes-Côte d'Azur,
4,Toulouse,grande,Occitanie,
5,Nice,grande,Provence-Alpes-Côte d'Azur,
6,Nantes,grande,Pays de la Loire,
7,Montpellier,grande,Occitanie,
8,Strasbourg,grande,Grand Est,
9,Bordeaux,grande,Nouvelle-Aquitaine,
10,Lille,grande,Hauts-de-France,
11,Rennes,grande,Bretagne,
12,Reims,grande,Grand Est,
13,Saint-Étienne,grande,Auvergne-Rhône-Alpes,
14,Toulon,grande,Provence-Alpes-Côte d'Azur,
15,Grenoble,grande,Auvergne-Rhône-Alpes,
16,Dijon,grande,Bourgogne-Franche-Comté,
17,Angers,grande,Pays de la Loire,
18,Nîmes,grande,Occitanie,
19,Villeurbanne,grande,Auvergne-Rhône-Alpes,
20,Le Mans,grande,Pays de la Loire,
21,Aix-en-Provence,moyenne,Provence-Alpes-Côte d'Azur,
22,Brest,moyenne,Bretagne,
23,Tours,moyenne,Centre-Val de Loire,Piège: prénom Albert
24,Amiens,moyenne,Hauts-de-France,
25,Limoges,moyenne,Nouvelle-Aquitaine,
26,Annecy,moyenne,Auvergne-Rhône-Alpes,
27,Perpignan,moyenne,Occitanie,
28,Boulogne-Billancourt,moyenne,Île-de-France,
29,Metz,moyenne,Grand Est,
30,Besançon,moyenne,Bourgogne-Franche-Comté,
31,Orléans,moyenne,Centre-Val de Loire,
32,Rouen,moyenne,Normandie,
33,Mulhouse,moyenne,Grand Est,
34,Caen,moyenne,Normandie,
35,Nancy,moyenne,Grand Est,
36,Argenteuil,moyenne,Île-de-France,
37,Montreuil,moyenne,Île-de-France,
38,Saint-Denis,moyenne,Île-de-France,
39,Roubaix,moyenne,Hauts-de-France,
40,Tourcoing,moyenne,Hauts-de-France,
41,Avignon,moyenne,Provence-Alpes-Côte d'Azur,
42,Poitiers,moyenne,Nouvelle-Aquitaine,
43,Nanterre,moyenne,Île-de-France,
44,Versailles,moyenne,Île-de-France,
45,Courbevoie,moyenne,Île-de-France,
46,Créteil,moyenne,Île-de-France,
47,Pau,moyenne,Nouvelle-Aquitaine,
48,Calais,moyenne,Hauts-de-France,
49,La Rochelle,moyenne,Nouvelle-Aquitaine,
50,Cannes,moyenne,Provence-Alpes-Côte d'Azur,
51,Antibes,moyenne,Provence-Alpes-Côte d'Azur,
52,Dunkerque,moyenne,Hauts-de-France,
53,Bourges,moyenne,Centre-Val de Loire,
54,Quimper,moyenne,Bretagne,
55,Lorient,moyenne,Bretagne,
56,Valence,moyenne,Auvergne-Rhône-Alpes,
57,Troyes,moyenne,Grand Est,
58,Chambéry,moyenne,Auvergne-Rhône-Alpes,
59,Niort,moyenne,Nouvelle-Aquitaine,
60,Beauvais,moyenne,Hauts-de-France,
61,Cholet,moyenne,Pays de la Loire,
62,Vannes,moyenne,Bretagne,
63,Évreux,moyenne,Normandie,
64,Arles,moyenne,Provence-Alpes-Côte d'Azur,
65,Colmar,moyenne,Grand Est,
66,Chartres,moyenne,Centre-Val de Loire,
67,Belfort,moyenne,Bourgogne-Franche-Comté,
68,Auxerre,moyenne,Bourgogne-Franche-Comté,
69,Mâcon,moyenne,Bourgogne-Franche-Comté,
70,Chalon-sur-Saône,moyenne,Bourgogne-Franche-Comté,
71,Châteauroux,moyenne,Centre-Val de Loire,
72,Blois,moyenne,Centre-Val de Loire,
73,Châlons-en-Champagne,moyenne,Grand Est,
74,Charleville-Mézières,moyenne,Grand Est,
75,Épinal,moyenne,Grand Est,
76,Nevers,moyenne,Bourgogne-Franche-Comté,
77,Albi,moyenne,Occitanie,
78,Tarbes,moyenne,Occitanie,
79,Béziers,moyenne,Occitanie,
80,Montauban,moyenne,Occitanie,
81,Agen,moyenne,Nouvelle-Aquitaine,
82,Périgueux,moyenne,Nouvelle-Aquitaine,
83,Angoulême,moyenne,Nouvelle-Aquitaine,
84,Bayonne,moyenne,Nouvelle-Aquitaine,
85,Biarritz,moyenne,Nouvelle-Aquitaine,
86,Carcassonne,moyenne,Occitanie,
87,Rodez,moyenne,Occitanie,
88,Auch,moyenne,Occitanie,
89,Mende,moyenne,Occitanie,
90,Gap,moyenne,Provence-Alpes-Côte d'Azur,
91,Digne-les-Bains,moyenne,Provence-Alpes-Côte d'Azur,
92,Ajaccio,moyenne,Corse,
93,Bastia,moyenne,Corse,
94,Saint-Nazaire,moyenne,Pays de la Loire,
95,Laval,moyenne,Pays de la Loire,
96,Alençon,moyenne,Normandie,
97,Cherbourg,moyenne,Normandie,
98,Évreux,moyenne,Normandie,
99,Dieppe,moyenne,Normandie,
100,Le Havre,moyenne,Normandie,
101,Lens,moyenne,Hauts-de-France,
102,Douai,moyenne,Hauts-de-France,
103,Arras,moyenne,Hauts-de-France,
104,Valenciennes,moyenne,Hauts-de-France,
105,Compiègne,moyenne,Hauts-de-France,
106,Soissons,moyenne,Hauts-de-France,
107,Saint-Quentin,moyenne,Hauts-de-France,
108,Laon,moyenne,Hauts-de-France,
109,Abbeville,moyenne,Hauts-de-France,
110,Boulogne-sur-Mer,moyenne,Hauts-de-France,
111,Florence,petite,Piège,Ville italienne/prénom
112,Albert,petite,Hauts-de-France,Piège: prénom
113,Lourdes,petite,Occitanie,Piège: prénom
114,Port-Boulet,petite,Centre-Val de Loire,Piège: mots communs
115,Évry,petite,Île-de-France,
116,Cergy,petite,Île-de-France,
117,Pontoise,petite,Île-de-France,
118,Meaux,petite,Île-de-France,
119,Melun,petite,Île-de-France,
120,Fontainebleau,petite,Île-de-France,
121,Étampes,petite,Île-de-France,
122,Provins,petite,Île-de-France,
123,Sens,petite,Bourgogne-Franche-Comté,
124,Montargis,petite,Centre-Val de Loire,
125,Vierzon,petite,Centre-Val de Loire,
126,Vendôme,petite,Centre-Val de Loire,
127,Chinon,petite,Centre-Val de Loire,
128,Loches,petite,Centre-Val de Loire,
129,Amboise,petite,Centre-Val de Loire,
130,Saumur,petite,Pays de la Loire,
131,Segré,petite,Pays de la Loire,
132,Ancenis,petite,Pays de la Loire,
133,Clisson,petite,Pays de la Loire,
134,Châteaubriant,petite,Pays de la Loire,
135,Fontenay-le-Comte,petite,Pays de la Loire,
136,Les Sables-d'Olonne,petite,Pays de la Loire,
137,Challans,petite,Pays de la Loire,
138,Saint-Malo,petite,Bretagne,
139,Dinan,petite,Bretagne,
140,Saint-Brieuc,petite,Bretagne,
141,Lannion,petite,Bretagne,
142,Morlaix,petite,Bretagne,
143,Concarneau,petite,Bretagne,
144,Pontivy,petite,Bretagne,
145,Auray,petite,Bretagne,
146,Vitré,petite,Bretagne,
147,Fougères,petite,Bretagne,
148,Granville,petite,Normandie,
149,Avranches,petite,Normandie,
150,Lisieux,petite,Normandie,
151,Fécamp,petite,Normandie,
152,Évreux,petite,Normandie,
153,Vernon,petite,Normandie,
154,Louviers,petite,Normandie,
155,Elbeuf,petite,Normandie,
156,Yvetot,petite,Normandie,
157,Bolbec,petite,Normandie,
158,Montivilliers,petite,Normandie,
159,Cambrai,petite,Hauts-de-France,
160,Maubeuge,petite,Hauts-de-France,
161,Dunkerque,petite,Hauts-de-France,
162,Hazebrouck,petite,Hauts-de-France,
163,Béthune,petite,Hauts-de-France,
164,Berck,petite,Hauts-de-France,
165,Saint-Omer,petite,Hauts-de-France,
166,Verdun,petite,Grand Est,
167,Bar-le-Duc,petite,Grand Est,
168,Lunéville,petite,Grand Est,
169,Toul,petite,Grand Est,
170,Épernay,petite,Grand Est,
171,Vitry-le-François,petite,Grand Est,
172,Saint-Dizier,petite,Grand Est,
173,Chaumont,petite,Grand Est,
174,Langres,petite,Grand Est,
175,Vesoul,petite,Bourgogne-Franche-Comté,
176,Lons-le-Saunier,petite,Bourgogne-Franche-Comté,
177,Dole,petite,Bourgogne-Franche-Comté,
178,Montbéliard,petite,Bourgogne-Franche-Comté,
179,Pontarlier,petite,Bourgogne-Franche-Comté,
180,Moulins,petite,Auvergne-Rhône-Alpes,
181,Vichy,petite,Auvergne-Rhône-Alpes,
182,Clermont-Ferrand,grande,Auvergne-Rhône-Alpes,
183,Aurillac,petite,Auvergne-Rhône-Alpes,
184,Le Puy-en-Velay,petite,Auvergne-Rhône-Alpes,
185,Bourg-en-Bresse,petite,Auvergne-Rhône-Alpes,
186,Oyonnax,petite,Auvergne-Rhône-Alpes,
187,Vienne,petite,Auvergne-Rhône-Alpes,
188,Bourgoin-Jallieu,petite,Auvergne-Rhône-Alpes,
189,Romans-sur-Isère,petite,Auvergne-Rhône-Alpes,
190,Montélimar,petite,Auvergne-Rhône-Alpes,
191,Privas,petite,Auvergne-Rhône-Alpes,
192,Aubenas,petite,Auvergne-Rhône-Alpes,
