template_id,template,label,origin_placeholder,destination_placeholder,notes
1,Je veux aller de {ville1} à {ville2},VALID,ville1,ville2,Structure basique
2,Un billet {ville1} {ville2} s'il vous plaît,VALID,ville1,ville2,Sans préposition
3,Comment me rendre à {ville2} depuis {ville1} ?,VALID,ville1,ville2,Question formelle
4,Y a-t-il des trains vers {ville2} au départ de {ville1} ?,VALID,ville1,ville2,Question détaillée
5,Je souhaite voyager de {ville1} vers {ville2},VALID,ville1,ville2,Registre soutenu
6,{ville1} {ville2} pour demain,VALID,ville1,ville2,Très court
7,Je dois me rendre de {ville1} à {ville2},VALID,ville1,ville2,Obligation
8,Quels sont les horaires de train {ville1} {ville2} ?,VALID,ville1,ville2,Question horaires
9,Je voudrais partir de {ville1} pour aller à {ville2},VALID,ville1,ville2,Structure longue
10,Un aller simple {ville1} {ville2},VALID,ville1,ville2,Type de billet
11,Trajet de {ville1} vers {ville2},VALID,ville1,ville2,Mot clé "trajet"
12,Je pars de {ville1} direction {ville2},VALID,ville1,ville2,Mot "direction"
13,Prochain train pour {ville2} depuis {ville1},VALID,ville1,ville2,Notion de temps
14,Je cherche un train {ville1} {ville2},VALID,ville1,ville2,Verbe "chercher"
15,Départ {ville1} arrivée {ville2},VALID,ville1,ville2,Mots explicites
16,Quel temps fait-il à {ville1} ?,INVALID,NULL,NULL,Question météo
17,J'habite à {ville1},INVALID,NULL,NULL,Information résidence
18,{ville1} est une belle ville,INVALID,NULL,NULL,Commentaire général
19,Mon ami vit à {ville1} et moi à {ville2},INVALID,NULL,NULL,Information personnelle
20,La distance entre {ville1} et {ville2},INVALID,NULL,NULL,Question géographique
21,Bonjour,INVALID,NULL,NULL,Salutation simple
22,Quelle est la population de {ville1} ?,INVALID,NULL,NULL,Question démographique
23,{ville1} ou {ville2} pour les vacances ?,INVALID,NULL,NULL,Hésitation vacances
24,Le maire de {ville1},INVALID,NULL,NULL,Question politique
25,Restaurant à {ville1},INVALID,NULL,NULL,Recherche service
26,Je réserve un train de {ville1} à {ville2},VALID,ville1,ville2,Réservation
27,Prochain départ de {ville1} pour {ville2},VALID,ville1,ville2,Départ imminent
28,Je veux prendre le train de {ville1} à {ville2},VALID,ville1,ville2,Intention
29,Train du matin {ville1} {ville2},VALID,ville1,ville2,Horaire matin
30,Je cherche un trajet en train de {ville1} vers {ville2},VALID,ville1,ville2,Recherche trajet
31,Quelle est la durée du trajet en train de {ville1} à {ville2} ?,VALID,ville1,ville2,Question durée
32,Je souhaite prendre le train de {ville1} pour {ville2},VALID,ville1,ville2,Souhait
33,Un billet de train pour aller de {ville1} à {ville2},VALID,ville1,ville2,Billet détaillé
34,Y a-t-il un TGV {ville1} {ville2} ?,VALID,ville1,ville2,TGV spécifique
35,Je veux un train rapide de {ville1} à {ville2},VALID,ville1,ville2,Préférence rapidité
36,Train de nuit {ville1} {ville2},VALID,ville1,ville2,Horaire nuit
37,Je pars demain de {ville1} vers {ville2},VALID,ville1,ville2,Départ demain
38,Comment rejoindre {ville2} depuis {ville1} en train ?,VALID,ville1,ville2,Rejoindre
39,Je dois aller de {ville1} à {ville2} ce soir,VALID,ville1,ville2,Urgence soir
40,Billet de train {ville1} {ville2} pour aujourd'hui,VALID,ville1,ville2,Aujourd'hui
41,Premier train {ville1} {ville2},VALID,ville1,ville2,Premier horaire
42,Dernier train de {ville1} vers {ville2},VALID,ville1,ville2,Dernier horaire
43,Je veux voyager en train de {ville1} à {ville2},VALID,ville1,ville2,Moyen précisé
44,Quel est le meilleur train de {ville1} à {ville2} ?,VALID,ville1,ville2,Meilleur choix
45,Je dois prendre le train de {ville1} pour {ville2},VALID,ville1,ville2,Nécessité
46,Train rapide de {ville1} à {ville2},VALID,ville1,ville2,Rapidité
47,Je voudrais aller de {ville1} à {ville2} en TGV,VALID,ville1,ville2,TGV précis
48,À quelle heure arrive le train à {ville2} depuis {ville1} ?,VALID,ville1,ville2,Horaire arrivée
49,Je planifie un voyage en train de {ville1} vers {ville2},VALID,ville1,ville2,Planification
50,Y a-t-il des trains disponibles de {ville1} à {ville2} ?,VALID,ville1,ville2,Disponibilité
51,Un billet pour le train {ville1} {ville2},VALID,ville1,ville2,Billet simple
52,Je vais de {ville1} à {ville2} en train,VALID,ville1,ville2,Annonce
53,Quel train me conseillez-vous de {ville1} à {ville2} ?,VALID,ville1,ville2,Conseil demandé
54,Je cherche le train le moins cher de {ville1} à {ville2},VALID,ville1,ville2,Budget
55,Train avec le moins de correspondances {ville1} {ville2},VALID,ville1,ville2,Peu changements
56,Je veux partir maintenant de {ville1} pour {ville2},VALID,ville1,ville2,Départ immédiat
57,Y a-t-il un Intercités {ville1} {ville2} ?,VALID,ville1,ville2,Intercités
58,Je souhaite réserver un train de {ville1} vers {ville2},VALID,ville1,ville2,Réservation formelle
59,Train de {ville1} à {ville2} cet après-midi,VALID,ville1,ville2,Après-midi
60,Combien de temps dure le trajet en train de {ville1} à {ville2} ?,VALID,ville1,ville2,Durée question
61,Je prends le train de {ville1} à {ville2},VALID,ville1,ville2,Décision prise
